"Day";"IdLabel";"block";"lockdown_type"
8;"Bat 67";26;0
8;"Bat 67";27;0
8;"Bat 67";28;0
8;"Bat 67";29;2
8;"Bat 67";30;0
8;"Bat 67";31;0
8;"Bat 67";32;0
8;"Bat 67";33;0
8;"Bat 67";34;0
8;"Bat 67";35;1
8;"Bat 67";36;0
8;"Bat 67";37;0
8;"Bat 67";38;0
8;"Bat 67";39;0
8;"Bat 67";40;0
8;"Bat 67";41;0
8;"Bat 67";42;1
8;"Bat 67";43;0
8;"Bat 67";44;0
8;"Bat 67";45;0
8;"Bat 67";46;0
8;"Bat 67";47;2
8;"Bat 67";48;0
8;"Bat 67";49;0
8;"Bat 67";50;0
8;"Bat 67";51;0
8;"Bat 67";52;1
8;"Bat 67";53;0
8;"Bat 67";54;0
8;"Bat 67";55;0
8;"Bat 67";56;2
8;"Bat 67";57;0
8;"Bat 67";58;0
8;"Bat 67";59;0
8;"Bat 67";60;2
8;"Bat 67";61;0
8;"Bat 67";62;0
8;"Bat 67";63;0
8;"Bat 67";64;0
8;"Bat 67";65;1
8;"Bat 67";66;0
8;"Bat 67";67;0
8;"Bat 67";68;0
8;"Bat 67";69;0
8;"Bat 67";70;0
9;"Bat 101";1;0
9;"Bat 101";2;0
9;"Bat 101";3;0
9;"Bat 101";4;0
9;"Bat 101";5;0
9;"Bat 101";6;0
9;"Bat 101";7;1
9;"Bat 101";8;0
9;"Bat 101";9;0
9;"Bat 101";10;0
9;"Bat 101";11;1
9;"Bat 101";12;0
9;"Bat 101";13;0
9;"Bat 101";14;0
9;"Bat 101";15;2
9;"Bat 101";16;0
9;"Bat 101";17;0
9;"Bat 101";18;0
9;"Bat 101";19;0
9;"Bat 101";20;1
9;"Bat 101";21;0
9;"Bat 101";22;0
9;"Bat 101";23;0
9;"Bat 101";24;2
9;"Bat 101";25;0
9;"Bat 101";26;0
9;"Bat 101";27;0
9;"Bat 101";28;0
9;"Bat 101";29;2
9;"Bat 101";30;0
9;"Bat 101";31;0
9;"Bat 101";32;0
9;"Bat 101";33;0
9;"Bat 101";34;0
9;"Bat 101";35;1
9;"Bat 101";36;0
9;"Bat 101";37;0
9;"Bat 101";38;0
9;"Bat 101";39;0
9;"Bat 101";40;0
9;"Bat 101";41;0
9;"Bat 101";42;1
9;"Bat 101";43;0
9;"Bat 101";44;0
9;"Bat 101";45;0
9;"Bat 101";46;0
9;"Bat 101";47;2
9;"Bat 101";48;0
9;"Bat 101";49;0
9;"Bat 101";50;0
9;"Bat 101";51;0
9;"Bat 101";52;1
9;"Bat 101";53;0
9;"Bat 101";54;0
9;"Bat 101";55;0
9;"Bat 101";56;2
9;"Bat 101";57;0
9;"Bat 101";58;0
9;"Bat 101";59;0
9;"Bat 101";60;2
9;"Bat 101";61;0
9;"Bat 101";62;0
9;"Bat 101";63;0
9;"Bat 101";64;0
9;"Bat 101";65;1
9;"Bat 101";66;0
9;"Bat 101";67;0
9;"Bat 101";68;0
9;"Bat 101";69;0
9;"Bat 101";70;0
9;"Bat 101";71;0
9;"Bat 61";1;0
9;"Bat 61";2;0
9;"Bat 61";3;0
9;"Bat 61";4;0
9;"Bat 61";5;0
9;"Bat 61";6;0
9;"Bat 61";7;1
9;"Bat 61";8;0
9;"Bat 61";9;0
9;"Bat 61";10;0
9;"Bat 61";11;1
9;"Bat 61";12;0
9;"Bat 61";13;0
9;"Bat 61";14;0
9;"Bat 61";15;2
9;"Bat 61";16;0
9;"Bat 61";17;0
9;"Bat 61";18;0
9;"Bat 61";19;0
9;"Bat 61";20;1
9;"Bat 61";21;0
9;"Bat 61";22;0
9;"Bat 61";23;0
9;"Bat 61";24;2
9;"Bat 61";25;0
9;"Bat 61";26;0
9;"Bat 61";27;0
9;"Bat 61";28;0
9;"Bat 61";29;2
9;"Bat 61";30;0
9;"Bat 61";31;0
9;"Bat 61";32;0
9;"Bat 61";33;0
9;"Bat 61";34;0
9;"Bat 61";35;1
9;"Bat 61";36;0
9;"Bat 61";37;0
9;"Bat 61";38;0
9;"Bat 61";39;0
9;"Bat 61";40;0
9;"Bat 61";41;0
9;"Bat 61";42;1
9;"Bat 61";43;0
9;"Bat 61";44;0
9;"Bat 61";45;0
9;"Bat 61";46;0
9;"Bat 61";47;2
9;"Bat 61";48;0
9;"Bat 61";49;0
9;"Bat 61";50;0
10;"Bat 101";1;0
10;"Bat 101";2;0
10;"Bat 101";3;0
10;"Bat 101";4;0
10;"Bat 101";5;0
10;"Bat 101";6;0
10;"Bat 101";7;1
10;"Bat 101";8;0
10;"Bat 101";9;0
10;"Bat 101";10;0
10;"Bat 101";11;1
10;"Bat 101";12;0
10;"Bat 101";13;0
10;"Bat 101";14;0
10;"Bat 101";15;2
10;"Bat 101";16;0
10;"Bat 101";17;0
10;"Bat 101";18;0
10;"Bat 101";19;0
10;"Bat 101";20;1
10;"Bat 101";21;0
10;"Bat 101";22;0
10;"Bat 101";23;0
10;"Bat 101";24;2
10;"Bat 101";25;0
10;"Bat 101";26;0
10;"Bat 101";27;0
10;"Bat 101";28;0
10;"Bat 101";29;2
10;"Bat 101";30;0
10;"Bat 101";31;0
10;"Bat 101";32;0
10;"Bat 101";33;0
10;"Bat 101";34;0
10;"Bat 101";35;1
10;"Bat 101";36;0
10;"Bat 101";37;0
10;"Bat 101";38;0
10;"Bat 101";39;0
10;"Bat 101";40;0
10;"Bat 101";41;0
10;"Bat 101";42;1
10;"Bat 101";43;0
10;"Bat 101";44;0
10;"Bat 101";45;0
10;"Bat 101";46;0
10;"Bat 101";47;2
10;"Bat 101";48;0
10;"Bat 101";49;0
10;"Bat 101";50;0
10;"Bat 101";51;0
10;"Bat 101";52;1
10;"Bat 101";53;0
10;"Bat 101";54;0
10;"Bat 101";55;0
10;"Bat 101";56;2
10;"Bat 101";57;0
10;"Bat 101";58;0
10;"Bat 101";59;0
10;"Bat 101";60;2
10;"Bat 101";61;0
10;"Bat 101";62;0
10;"Bat 101";63;0
10;"Bat 101";64;0
10;"Bat 101";65;1
